order_id,customer_id,product_id,quantity,unit_price,order_date,status
ORD001,C001,P001,1,1299.99,2024-02-01,completed
ORD002,C002,P002,2,29.99,2024-02-01,completed
ORD003,C003,P004,1,299.99,2024-02-02,completed
ORD004,C001,P006,2,449.99,2024-02-02,completed
ORD005,C004,P003,3,49.99,2024-02-03,completed
ORD006,C005,P007,1,89.99,2024-02-03,shipped
ORD007,C002,P005,1,599.99,2024-02-04,shipped
ORD008,C006,P008,2,79.99,2024-02-04,processing
ORD009,C007,P010,10,12.99,2024-02-05,processing
ORD010,C008,P009,3,39.99,2024-02-05,pending
ORD011,C003,P001,1,1299.99,2024-02-06,completed
ORD012,C009,P002,5,29.99,2024-02-06,completed
ORD013,C010,P006,1,449.99,2024-02-07,completed
ORD014,C001,P007,2,89.99,2024-02-07,shipped
ORD015,C004,P004,2,299.99,2024-02-08,completed
